Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST1001,5,6,102089.15,5,3,3,11,Loyal Customers
CUST1002,7,5,70748.57,5,2,2,9,Potential Loyalists
CUST1003,14,9,277959.34,5,5,5,15,Champions
CUST1004,9,3,228227.87999999998,5,1,5,11,Loyal Customers
CUST1005,11,6,221640.27000000002,5,3,5,13,Champions
CUST1006,144,4,35641.61,2,1,1,4,Lost / Hibernating
CUST1007,66,7,46074.61,3,4,2,9,Potential Loyalists
CUST1008,16,8,197068.89,5,4,5,14,Champions
CUST1009,188,4,34943.86,1,1,1,3,Lost / Hibernating
CUST1010,213,6,88585.83,1,3,3,7,At Risk
CUST1011,159,4,79858.54,1,1,3,5,Lost / Hibernating
CUST1012,60,3,25860.839999999997,3,1,1,5,Lost / Hibernating
CUST1013,30,7,219483.74,4,4,5,13,Champions
CUST1014,57,6,248247.22000000003,3,3,5,11,Loyal Customers
CUST1015,1,6,112495.87,5,3,3,11,Loyal Customers
CUST1016,77,11,277202.25,3,5,5,13,Champions
CUST1017,260,4,34133.7,1,1,1,3,Lost / Hibernating
CUST1018,438,3,12723.48,1,1,1,3,Lost / Hibernating
CUST1019,5,8,250615.58,5,4,5,14,Champions
CUST1020,48,9,127491.95999999999,3,5,4,12,Loyal Customers
CUST1021,45,8,93990.96,3,4,3,10,Loyal Customers
CUST1022,21,9,152352.78,5,5,4,14,Champions
CUST1023,102,8,125586.64,2,4,4,10,Loyal Customers
CUST1024,30,7,124759.45999999999,4,4,4,12,Loyal Customers
CUST1025,66,4,52823.2,3,1,2,6,At Risk
CUST1026,1,7,149050.77,5,4,4,13,Champions
CUST1027,26,4,188935.25999999998,4,1,5,10,Loyal Customers
CUST1028,298,6,76166.29,1,3,3,7,At Risk
CUST1029,75,6,269853.82999999996,3,3,5,11,Loyal Customers
CUST1030,141,6,99936.36,2,3,3,8,Potential Loyalists
CUST1031,76,4,38427.8,3,1,1,5,Lost / Hibernating
