Order_ID,Order_Date,Customer_ID,Product,Category,Region,Payment_Method,Shipping_Type,Quantity,Unit_Price,Discount,Sales,Profit,Rating,Order_Status
ORD102315,2024-01-01,CUST1035,Makeup Set,Beauty,Central,Net Banking,Standard,1,1600.73,0.0,1600.73,291.53,4.7,Delivered
ORD102441,2024-01-01,CUST1282,Backpack,Fashion,Central,Credit Card,Standard,1,6304.62,0.0,6304.62,1942.41,4.5,Delivered
ORD102258,2024-01-01,CUST1323,Wireless Headphones,Electronics,South,UPI,Express,3,38892.74,0.15,99176.49,16363.28,4.7,Delivered
ORD101481,2024-01-01,CUST1576,Bluetooth Speaker,Electronics,North,Net Banking,Standard,1,32354.49,0.1,29119.04,2010.08,4.3,Delivered
ORD101487,2024-01-01,CUST1554,Laptop Stand,Electronics,North,Net Banking,Standard,2,19677.94,0.2,31484.7,-627.08,4.5,Delivered
ORD101408,2024-01-01,CUST1480,Casual Sneakers,Fashion,Central,UPI,Express,1,1862.81,0.0,1862.81,594.11,3.9,Delivered
ORD101948,2024-01-01,CUST1258,Backpack,Fashion,East,UPI,Same Day,2,8552.32,0.1,15394.18,5939.98,5.0,Delivered
ORD103190,2024-01-02,CUST1271,Storage Organizer,Home & Kitchen,Central,UPI,Standard,2,16890.92,0.05,32092.75,7797.68,3.9,Delivered
ORD101738,2024-01-02,CUST1549,Air Fryer,Home & Kitchen,West,Debit Card,Express,1,7643.21,0.05,7261.05,2176.42,4.5,Delivered
ORD101995,2024-01-02,CUST1112,Storage Organizer,Home & Kitchen,Central,COD,Express,1,9191.55,0.15,7812.82,795.15,4.5,Cancelled
ORD101912,2024-01-02,CUST1305,Coffee Maker,Home & Kitchen,West,COD,Express,1,8124.62,0.2,6499.7,1444.53,3.8,Delivered
ORD102627,2024-01-03,CUST1530,Bluetooth Speaker,Electronics,South,COD,Standard,1,31720.25,0.0,31720.25,8521.76,3.6,Delivered
ORD100772,2024-01-03,CUST1560,Face Serum,Beauty,North,Credit Card,Express,1,1263.04,0.15,1073.59,49.19,5.0,Returned
